"time" "direct" "dist" "width" "length" "positive_frequency" "negative_frequency" "file"
73324.779 1 189.619 42 52 47.2222 52.7778 "20190319"
73354.669 7 220.732 51 53 46.25 54.5833 "20190319"
73485.158 7 219.904 50 53 56.8376 43.3761 "20190319"
73607.119 1 256.348 61 52 50.6536 49.0196 "20190319"
73653.045 1 228.262 53 53 47.7401 52.2599 "20190319"
73653.545 1 228.175 53 52 42.094 57.906 "20190319"
73661.735 3 223.375 51 53 48.8889 51.1111 "20190319"
73673.669 3 207.672 47 54 50 50 "20190319"
73738.861 7 243.847 57 53 49.5726 50.4274 "20190319"
73739.158 7 244.416 57 51 54.4872 45.5128 "20190319"
73892.256 1 217.868 50 53 51.2821 48.718 "20190319"
73892.49 1 218.127 50 51 45.4106 53.6232 "20190319"
74214.033 7 186.497 41 53 49.7863 50 "20190319"
74464.335 5 255.835 60 52 49.2308 51.0256 "20190319"
74496.643 3 226.937 52 52 37.1795 62.6068 "20190319"
74506.034 3 229.735 53 54 47.2222 52.7778 "20190319"
75000.254 5 253.762 60 51 47.1429 53.3333 "20190319"
75406.489 1 250.903 59 49 56.6239 43.1624 "20190319"
75888.603 1 235.523 55 52 34.8291 65.3846 "20190319"
75889.149 1 235.34 55 52 61.9658 37.6068 "20190319"
75930.582 3 218.761 50 54 46.1538 53.8462 "20190319"
75930.816 3 218.465 50 52 47.6496 52.5641 "20190319"
76108.906 5 266.647 63 54 38.8889 60.8974 "20190319"
76109.14 5 266.404 63 54 37.2549 62.0098 "20190319"
76650.503 7 239.556 56 54 52.6882 46.7742 "20190319"
76667.024 1 224.408 52 53 42.3077 57.6923 "20190319"
76733.511 3 188.051 41 52 47.6496 52.5641 "20190319"
76980.865 1 193.591 43 55 48.2906 51.7094 "20190319"
77392.217 1 231.68 54 51 46.6184 53.1401 "20190319"
77471.091 1 188.13 42 52 43.1624 56.8376 "20190319"
78465.52 1 246.805 58 50 54.0598 45.9402 "20190319"
78702.734 3 235.435 55 53 42.094 57.6923 "20190319"
